Domain,Indicator,CD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Definition,Source
Housing,Severely Rent-Burdened Households,Brooklyn CD 14,28%,*,*,33%,*,*,0.3,*,0.31,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Brooklyn CD 15,35%,*,*,29%,*,*,0.34,*,0.33,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Brooklyn CD 16,24%,*,*,37%,*,*,0.43,*,0.31,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Brooklyn CD 17,25%,*,*,20%,*,*,0.25,*,0.34,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Brooklyn CD 18,30%,*,*,25%,*,*,0.25,*,0.28999999999999998,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 1,21%,*,*,23%,*,*,0.2,*,0.25,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 2,21%,*,*,23%,*,*,0.2,*,0.25,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 3,30%,*,*,27%,*,*,0.27,*,0.24,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 4,29%,*,*,26%,*,*,0.24,*,0.27,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 5,29%,*,*,26%,*,*,0.24,*,0.27,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 6,23%,*,*,27%,*,*,0.28000000000000003,*,0.26,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 7,21%,*,*,22%,*,*,0.23,*,0.24,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 8,23%,*,*,23%,*,*,0.23,*,0.24,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 9,28%,*,*,27%,*,*,0.28999999999999998,*,0.33,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 10,18%,*,*,25%,*,*,0.27,*,0.22,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 11,28%,*,*,29%,*,*,0.26,*,0.28000000000000003,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Manhattan CD 12,28%,*,*,32%,*,*,0.3,*,0.28999999999999998,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 1,21%,*,*,23%,*,*,0.2,*,0.25,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 2,21%,*,*,23%,*,*,0.2,*,0.25,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 3,30%,*,*,27%,*,*,0.27,*,0.24,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 4,29%,*,*,26%,*,*,0.24,*,0.27,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 5,29%,*,*,26%,*,*,0.24,*,0.27,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 6,23%,*,*,27%,*,*,0.28000000000000003,*,0.26,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 7,21%,*,*,22%,*,*,0.23,*,0.24,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 8,23%,*,*,23%,*,*,0.23,*,0.24,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 9,28%,*,*,27%,*,*,0.28999999999999998,*,0.33,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 10,18%,*,*,25%,*,*,0.27,*,0.22,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 11,28%,*,*,29%,*,*,0.26,*,0.28000000000000003,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 12,28%,*,*,32%,*,*,0.3,*,0.28999999999999998,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 13,21%,*,*,23%,*,*,0.2,*,0.25,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Queens CD 14,21%,*,*,23%,*,*,0.2,*,0.25,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Staten Island CD 1,15%,*,*,25%,*,*,0.28000000000000003,*,0.28000000000000003,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Staten Island CD 2,28%,*,*,24%,*,*,0.28999999999999998,*,0.21,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Severely Rent-Burdened Households,Staten Island CD 3,31%,*,*,25%,*,*,0.22,*,0.22,*,*,"This indicator measures the share of renter-occupied households whose gross rent (rent plus electricity and heating fuel costs) equaled at least 50 percent of their monthly pre-tax income, excluding those living in public housing or renting with the use of a voucher.",U.S. Census Bureau: NYC Housing and Vacancy Survey 
Housing,Notices of Foreclosure Rate,Bronx CD 1,*,*,*,*,*,*,102.9,86.1,77.6,85.3,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 2,*,*,*,*,*,*,163.7,119.8,79.2,81.8,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 3,*,*,*,*,*,*,154.7,140.3,87.1,98.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 4,*,*,*,*,*,*,153.7,148.6,103.2,118.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 5,*,*,*,*,*,*,195.2,132.7,76.0,79.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 6,*,*,*,*,*,*,158.6,136.6,109.0,122.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 7,*,*,*,*,*,*,144.8,149.0,96.8,107.1,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 8,*,*,*,*,*,*,52.3,83.6,43.6,48.5,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 9,*,*,*,*,*,*,87.2,91.1,74.2,82.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 10,*,*,*,*,*,*,18.5,27.5,24.0,26.2,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 11,*,*,*,*,*,*,58.3,65.1,48.4,58.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Bronx CD 12,*,*,*,*,*,*,79.7,95.0,91.2,108.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 1,*,*,*,*,*,*,25.9,29.3,22.5,23.0,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 2,*,*,*,*,*,*,13.1,10.6,16.1,15.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 3,*,*,*,*,*,*,130.7,103.5,85.9,73.3,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 4,*,*,*,*,*,*,201.3,175.6,111.8,95.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 5,*,*,*,*,*,*,102.6,132.7,102.2,93.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 6,*,*,*,*,*,*,24.3,18.0,19.0,13.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 7,*,*,*,*,*,*,58.1,46.7,57.5,45.9,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 8,*,*,*,*,*,*,123.3,111.1,100.5,86.9,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 9,*,*,*,*,*,*,105.0,119.3,95.4,80.9,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 10,*,*,*,*,*,*,18.1,22.9,17.3,17.5,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 11,*,*,*,*,*,*,19.9,22.5,22.7,18.9,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 12,*,*,*,*,*,*,34.7,41.9,31.5,28.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 13,*,*,*,*,*,*,30.0,31.9,29.4,25.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 14,*,*,*,*,*,*,92.0,109.7,83.8,74.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 15,*,*,*,*,*,*,19.5,28.2,19.5,24.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 16,*,*,*,*,*,*,149.2,143.7,120.9,129.5,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 17,*,*,*,*,*,*,97.0,123.6,97.7,92.0,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Brooklyn CD 18,*,*,*,*,*,*,21.7,37.8,28.4,28.6,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 1,*,*,*,*,*,*,1.0,1.5,1.1,2.1,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 2,*,*,*,*,*,*,15.4,13.9,15.5,14.2,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 3,*,*,*,*,*,*,28.1,24.2,24.4,21.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 4,*,*,*,*,*,*,13.7,16.5,11.0,11.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 5,*,*,*,*,*,*,6.7,7.1,5.7,5.6,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 6,*,*,*,*,*,*,4.3,5.5,5.8,6.3,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 7,*,*,*,*,*,*,14.4,14.8,14.7,19.8,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 8,*,*,*,*,*,*,10.7,12.1,10.9,14.2,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 9,*,*,*,*,*,*,113.1,120.1,92.7,119.0,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 10,*,*,*,*,*,*,54.1,50.5,55.8,61.3,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 11,*,*,*,*,*,*,50.3,51.0,41.9,49.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Manhattan CD 12,*,*,*,*,*,*,108.6,153.9,115.7,123.9,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 1,*,*,*,*,*,*,16.7,10.7,13.8,13.9,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 2,*,*,*,*,*,*,29.4,15.9,14.4,17.1,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 3,*,*,*,*,*,*,35.1,28.3,29.1,29.4,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 4,*,*,*,*,*,*,15.9,19.7,16.6,15.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 5,*,*,*,*,*,*,18.7,17.3,19.0,19.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 6,*,*,*,*,*,*,8.8,9.3,7.5,11.7,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 7,*,*,*,*,*,*,9.8,9.4,10.3,10.5,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 8,*,*,*,*,*,*,15.2,20.9,17.3,19.0,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
Housing,Notices of Foreclosure Rate,Queens CD 9,*,*,*,*,*,*,24.1,32.6,24.6,29.9,*,This indicator measures the total number of residential properties (single- and multi-family buildings and condominium apartment units) that had mortgage foreclosure actions (Lis Pendens) initiated against them.,"Public Data Corporation, NYC Department of Finance Final Tax Roll File, NYU Furman Center"
